epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.133,1.82758,5.27991,1.37969,0.00305,0.91525,0.00547,0.00319,1.18383,4.21276,0.9418,0.00016,0.00016,0.00016
2,207.52,1.25178,2.53936,0.94521,0.00311,0.9322,0.00793,0.00512,1.05445,3.93651,0.90061,0.000336634,0.000336634,0.000336634
3,283.203,1.15752,1.82871,0.93228,0.00311,0.9322,0.00825,0.00485,1.10787,3.92183,0.91585,0.000509704,0.000509704,0.000509704
4,381.315,1.0951,1.56195,0.94948,0.00311,0.9322,0.00798,0.00467,0.95708,3.83048,0.91374,0.00067921,0.00067921,0.00067921
5,515.941,1.04328,1.49513,0.94711,0.00311,0.9322,0.07492,0.057,0.93498,3.73176,0.91391,0.000845152,0.000845152,0.000845152
6,606.367,1.05609,1.50388,0.97531,0.00311,0.9322,0.18309,0.14438,0.90553,3.38886,0.95089,0.00100753,0.00100753,0.00100753
7,708.14,0.98758,1.33874,0.93232,0.00328,0.98305,0.87395,0.64839,0.95878,3.11812,0.9783,0.00116634,0.00116634,0.00116634
8,795.674,1.03094,1.33623,0.97334,1,0.23367,0.89782,0.6311,1.06589,3.00706,0.99766,0.00132159,0.00132159,0.00132159
9,878.591,1.04332,1.22002,0.95768,1,0.25421,0.93518,0.67986,0.97794,2.66509,0.96883,0.00147328,0.00147328,0.00147328
10,957.686,0.96461,1.14743,0.92448,1,0.3528,0.93449,0.68502,0.97383,2.52714,0.97218,0.0016214,0.0016214,0.0016214
11,1063.2,0.95733,1.13147,0.93324,1,0.85549,0.93533,0.69052,0.99206,2.20436,0.97721,0.00176596,0.00176596,0.00176596
12,1152.84,1.01479,1.11603,0.95649,0.99774,0.9322,0.9355,0.66573,1.0343,1.75459,1.02251,0.0017822,0.0017822,0.0017822
13,1242.62,1.04608,1.12505,0.96286,0.99618,0.9322,0.97957,0.6063,1.18653,1.33208,1.04696,0.0017624,0.0017624,0.0017624
14,1323.8,1.14859,1.12458,0.97692,0.9967,0.9322,0.97769,0.65942,1.12232,1.21264,1.02251,0.0017426,0.0017426,0.0017426
15,1402.44,0.94545,0.98928,0.92576,0.99583,0.9322,0.98393,0.7172,0.97397,1.06559,0.97671,0.0017228,0.0017228,0.0017228
16,1481.61,0.98662,0.98841,0.92059,0.99267,0.98305,0.98988,0.70479,1.03062,1.01816,0.97385,0.001703,0.001703,0.001703
17,1564.22,0.98189,0.9282,0.93861,0.99823,0.98305,0.99108,0.72639,0.99546,0.9633,1.01144,0.0016832,0.0016832,0.0016832
18,1644.43,0.93991,0.9137,0.95299,1,0.98295,0.99467,0.72099,0.99891,0.89881,0.97943,0.0016634,0.0016634,0.0016634
19,1723.36,0.89967,0.85102,0.901,0.99386,0.9661,0.99418,0.71333,0.99454,0.89588,0.97987,0.0016436,0.0016436,0.0016436
20,1804.35,0.89142,0.83333,0.89266,1,0.99902,0.995,0.74083,0.90425,0.8169,0.94692,0.0016238,0.0016238,0.0016238
21,1883.86,0.86962,0.77696,0.87857,0.99708,0.98305,0.99483,0.66282,1.13106,0.85745,0.98072,0.001604,0.001604,0.001604
22,1963.27,0.94099,0.77461,0.91553,0.98327,0.99622,0.9945,0.75733,0.87436,0.80748,0.93297,0.0015842,0.0015842,0.0015842
23,2044.2,0.96929,0.78082,0.9218,0.98084,0.98305,0.99418,0.707,0.98416,0.85331,0.94895,0.0015644,0.0015644,0.0015644
24,2124.78,1.00138,0.79003,0.91287,0.98109,0.98305,0.99418,0.74742,0.92057,0.73808,0.95566,0.0015446,0.0015446,0.0015446
25,2209.75,0.98715,0.75252,0.92325,0.9795,0.98305,0.99433,0.72691,0.90955,0.74924,0.93789,0.0015248,0.0015248,0.0015248
26,2290.65,0.91701,0.68974,0.89048,0.98328,0.99689,0.99483,0.71413,1.00741,0.73028,0.95653,0.001505,0.001505,0.001505
